epoch, loss, test_acc, cand
68,0.6764424,0.65,u3 u3 I cu3 cu3 I u3 data cu3 u3 cu3 I
69,0.6772509,0.6166666666666667,u3 u3 I cu3 cu3 I u3 data cu3 u3 cu3 I
70,0.6395769,0.6666666666666666,u3 u3 I cu3 cu3 I u3 data cu3 u3 cu3 I
71,0.6553921,0.7,u3 u3 I cu3 cu3 I u3 data cu3 u3 cu3 I
72,0.64351475,0.65,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
73,0.67455524,0.6,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
74,0.6404246,0.65,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
75,0.66080445,0.65,u3 u3 I cu3 cu3 I u3 data cu3 u3 cu3 I
76,0.6654418,0.6333333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
77,0.6279947,0.6333333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
78,0.6792514,0.5666666666666667,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
79,0.65978813,0.6333333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
80,0.68588215,0.6,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
81,0.65384156,0.6166666666666667,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
82,0.6438762,0.6833333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
83,0.7028874,0.5333333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
84,0.6459609,0.65,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
85,0.66492736,0.65,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
86,0.62912625,0.7,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
87,0.6795102,0.6333333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
88,0.6506206,0.6333333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
89,0.63565946,0.6333333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
90,0.6552006,0.6333333333333333,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
91,0.63134176,0.75,u3 u3 I cu3 cu3 I u3 data data u3 cu3 I
92,0.6575724,0.65,u3 u3 I cu3 cu3 u3 u3 data data u3 cu3 I
93,0.6763095,0.6,u3 u3 I cu3 cu3 u3 u3 data data u3 cu3 I
94,0.6443451,0.65,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
95,0.68984926,0.6,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
96,0.64295745,0.6333333333333333,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
97,0.6415726,0.6833333333333333,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
98,0.6895096,0.5833333333333334,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
99,0.6551448,0.6,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
100,0.6407358,0.7666666666666667,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
101,0.66036123,0.65,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
102,0.6616174,0.6833333333333333,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
103,0.6690346,0.6,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
104,0.68150276,0.5666666666666667,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
105,0.6542463,0.6,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
106,0.66045946,0.65,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
107,0.64457834,0.6166666666666667,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
108,0.6650416,0.65,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
109,0.64214534,0.65,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
110,0.64504147,0.6666666666666666,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
111,0.66480803,0.6333333333333333,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
112,0.6616256,0.6166666666666667,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
113,0.6294618,0.7166666666666667,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
114,0.64259094,0.6166666666666667,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
115,0.6521528,0.6666666666666666,u3 u3 I cu3 cu3 cu3 u3 cu3 data u3 cu3 I
116,0.6214205,0.7,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
117,0.63915837,0.7333333333333333,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
118,0.5976597,0.8,u3 u3 I cu3 cu3 cu3 I cu3 data u3 cu3 I
119,0.6044181,0.75,u3 u3 data cu3 cu3 I I cu3 data u3 cu3 I
120,0.66930497,0.6333333333333333,u3 u3 data cu3 cu3 I I cu3 data u3 cu3 I
121,0.6905182,0.5333333333333333,u3 u3 data cu3 cu3 I I cu3 data u3 cu3 I
122,0.6617199,0.6333333333333333,u3 u3 data cu3 cu3 I I cu3 data u3 cu3 I
123,0.63515383,0.7166666666666667,u3 u3 data cu3 cu3 I I cu3 data u3 cu3 I
124,0.69015306,0.5666666666666667,u3 u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
125,0.6386507,0.7333333333333333,u3 u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
126,0.6824011,0.6,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
127,0.6748564,0.6333333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
128,0.6353013,0.75,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
129,0.6459739,0.6833333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
130,0.6687867,0.65,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
131,0.62881756,0.7666666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
132,0.6451166,0.7,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
133,0.6341728,0.65,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
134,0.6874589,0.5333333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
135,0.65072995,0.6666666666666666,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
136,0.64193237,0.75,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
137,0.6722778,0.5666666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
138,0.6577293,0.6166666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
139,0.65597093,0.65,u3 u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
140,0.6167284,0.7333333333333333,u3 u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
141,0.6369314,0.6666666666666666,u3 u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
142,0.6292058,0.65,u3 u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
143,0.647433,0.6666666666666666,u3 u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
144,0.63292867,0.8,u3 u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
145,0.634594,0.65,u3 u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
146,0.62265676,0.8,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
147,0.67054194,0.6166666666666667,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
148,0.6337198,0.6333333333333333,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
149,0.6638275,0.6333333333333333,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
150,0.66499203,0.65,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
151,0.6321074,0.6666666666666666,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
152,0.6180658,0.7666666666666667,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
153,0.64043176,0.6833333333333333,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
154,0.62918085,0.6833333333333333,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
155,0.65136474,0.6333333333333333,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
156,0.6196142,0.6666666666666666,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
157,0.65171605,0.6333333333333333,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
158,0.66282153,0.65,data u3 data cu3 cu3 cu3 u3 cu3 data u3 cu3 I
159,0.62997556,0.7333333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
160,0.64353853,0.65,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
161,0.63538224,0.65,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
162,0.6293093,0.7666666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
163,0.65244704,0.6166666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
164,0.64940846,0.65,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
165,0.6286307,0.7833333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
166,0.6515806,0.65,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
167,0.6576844,0.6333333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
168,0.6427845,0.6666666666666666,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
169,0.64208573,0.6833333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
170,0.65610653,0.6666666666666666,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
171,0.6642141,0.6166666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
172,0.65001357,0.65,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
173,0.66267693,0.65,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
174,0.67168844,0.6166666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
175,0.65116143,0.6166666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
176,0.6658933,0.6166666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
177,0.6416181,0.6333333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
178,0.6028579,0.7166666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
179,0.6436492,0.6666666666666666,data u3 data cu3 u3 I u3 cu3 data u3 cu3 I
180,0.67148,0.6166666666666667,data u3 data cu3 u3 I u3 cu3 data u3 cu3 I
181,0.66909575,0.55,data u3 data cu3 u3 I u3 cu3 data u3 cu3 I
182,0.62702024,0.6666666666666666,data u3 data cu3 u3 I u3 cu3 data u3 cu3 I
183,0.6809557,0.6,data u3 data cu3 u3 I u3 cu3 data u3 cu3 I
184,0.6446169,0.6166666666666667,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
185,0.62749416,0.6833333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
186,0.6626746,0.6333333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
187,0.659078,0.5833333333333334,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
188,0.6544311,0.6,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
189,0.67048615,0.6333333333333333,data u3 data cu3 cu3 I u3 cu3 data u3 cu3 I
190,0.6808697,0.5666666666666667,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
191,0.6719501,0.65,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
192,0.6320177,0.7,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
193,0.68906975,0.5666666666666667,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
194,0.6821816,0.5666666666666667,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
195,0.6660442,0.6,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
196,0.67066646,0.6166666666666667,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
197,0.6624252,0.6166666666666667,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
198,0.64187074,0.6833333333333333,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
199,0.6575614,0.65,data u3 I cu3 cu3 I u3 cu3 data u3 cu3 I
